table,field,type_i,length_i,type,length,seq
chaashto,aashtocl,String,254,String,5,
chaashto,chkey,String,30,Long,,
chaashto,chaashtokey,String,30,Long,,
chconsistence,chkey,String,30,Long,,
chconsistence,chconsistkey,String,30,Long,,
chdesgnsuffix,chkey,String,30,Long,,
chdesgnsuffix,chdesgnsfxkey,String,30,Long,,
chdesgnsuffix,desgnsuffix,String,254,String,10,
chconsistence,rupresblkmst,String,254,String,30,
chconsistence,rupresblkdry,String,254,String,30,
chconsistence,rupresblkcem,String,254,String,30,
chconsistence,rupresplate,String,254,String,30,
chconsistence,mannerfailure,String,254,String,30,
chconsistence,stickiness,String,254,String,30,
chconsistence,plasticity,String,254,String,30,
chconsistence,rvindicator,String,254,String,30,
chconsistence,chkey,String,30,Long,,
chconsistence,chconsistkey,String,30,Long,,
chfrags,fragkind,String,254,String,128,
chfrags,fragshp,String,254,String,10,
chfrags,fraground,String,254,String,25,
chfrags,fraghard,String,254,String,30,
chfrags,chkey,String,30,Long,,
chfrags,chfragskey,String,30,Long,,
chorizon,desgnmaster,String,254,,10,
chorizon,desgnmasterprime,String,254,,5,
chorizon,kwfact,String,254,Float,,
chorizon,kffact,String,254,Float,,
chorizon,excavdifcl,String,254,25,,
chorizon,excavdifms,String,254,25,,
chorizon,cokey,String,30,Long,,
chorizon,chkey,String,30,Long,,
chorizon,dbovendry_l,Double,,Float,,
chorizon,dbovendry_r,Double,,Float,,
chorizon,dbovendry_h,Double,,Float,,
chorizon,sumbases_l,Double,,Float,,
chorizon,sumbases_r,Double,,Float,,
chorizon,sumbases_h,Double,,Float,,
chpores,poresize,String,254,String,25,
chpores,porecont,String,254,String,15,
chpores,poreshp,String,254,String,30,
chpores,chkey,String,30,Long,,
chpores,chporeskey,String,30,Long,,
chstruct,structgrade,String,254,String,25,
chstruct,structsize,String,254,String,30,
chstruct,structtype,String,254,String,25,
chstruct,chstructgrpkey,String,30,Long,,
chstruct,chstructkey,String,30,Long,,
chstructgrp,chkey,String,30,Long,,
chstructgrp,chstructgrpkey,String,30,Long,,
chtext,chorizontextkind,String,254,String,25,
chtext,chkey,String,30,Long,,
chtext,chtextkey,String,30,Long,,
chtexture,texcl,String,254,String,30,
chtexture,lieutex,String,254,String,45,
chtexture,chtgkey,String,30,Long,,
chtexture,chtkey,String,30,Long,,
chtexturegrp,texdesc,String,2147483647,String,254,
chtexturegrp,chkey,String,30,Long,,
chtexturegrp,chtgkey,String,30,Long,,
chtexturemod,texmod,String,254,String,30,
chtexturemod,chtkey,String,30,Long,,
chtexturemod,chtexmodkey,String,30,Long,,
chunified,unifiedcl,String,254,String,25,
chunified,chkey,String,30,Long,,
chunified,chunifiedkey,String,30,Long,,
cocanopycover,cokey,String,30,Long,,
cocanopycover,cocanopycovkey,String,30,Long,,
cocropyld,cropname,String,254,String,128,
cocropyld,yldunits,String,254,String,15,
