classtxt,classkey
Soil has a moderately high om content 4.0 - 5.0 %,1
Fine Sand Subgroup,2
CT nonwetland,3
Not rated - Surface Texture,4
Depth to bedrock or cemented pan is 10 inches or less,5
Moderate water storage,6
Soil climate score,7
"Depth to lithic bedrock 10 - < 20""",8
AASHTO group index null,9
Permeability,10
High water dispersible clay,11
Moderate silt/crusting potential,12
"Not rated, sand content",13
Not rated; EC 0-100cm,14
Not  a lake associated landform,15
Moderate organic matter,16
IIISr,17
Aluminum saturation somewhat limiting,18
CTSG 2KK,19
Water quantity available for leaching,20
Flooding and ponding,21
0.3,22
Not rated; SAR,23
Aluminum Saturation (Not Limited),24
"Depth: <20""",25
Not rated; Slope or k factor,26
"~high water table, perched: at surface (winter-early spring)",27
Depressional topography,28
Bedrock less than 18 inches,29
"YES, NP(W)FSG-004 Clayey, Dry-Acid",30
Not rated; % surface sand or clay,31
Depth to apparent water table,32
"Depth to any bedrock <10""",33
CTSG 5K,34
Very high penetration,35
Ksat response,36
Too steep,37
Soil is a Terric Haplosaprists or Typic Haplosaprists,38
Cemented pan; Texas CEQ site investigation required,39
Very deep to water,40
High risk,41
C,42
"Moderately Sandy, >5 & <20% passing the #200 sieve",43
"Subgelic, MAAT <-2 degrees C, Histel, frequent ponding",44
F-4,45
Field check,46
Moderate soil temperatures,47
Low response,48
Not fragile,49
"YES, NP(W)FSG-026 Sandy, Dry",50
Medium amount of clay surface area,51
Clayey Sand Subgroup,52
High PM10,53
Erosion Class 2,54
Sands in 0 to 30-inches depth,55
61,56
"YES, NP(W)FSG-033 Subirr, Saline",57
Rock outrcops 2 to 10%,58
Soil erodibility,59
14,60
"Plantains, moderately low",61
AWC of less than 2 in. - upper 10 in.,62
Very low PM2.5,63
"Slopes, sprinkler irrigation",64
"Subgelic, MAAT <-3 degrees C, low therm over sandyl 50-100 cm",65
"YES, NP(W)FSG-006 Clayey, Dry-Saline",66
~flooding (common),67
Least limited,68
Muddy Sand Group,69
G-1,70
Long term soil wetness,71
Vegetation establishment,72
Slope 8 - 10%,73
"Subgelic, MAAT >= -3 degrees C, moderate to low thermal conductivity",74
High organic matter,75
Rock outcrops >10%,76
Not rated; Clay,77
"Subgelic, MAAT <-3 degrees C, southlery aspect",78
Low crusting potential,79
High Potential,80
>3% surface cover fragments >=600mm (too bouldery),81
Clogging of tiles with sand,82
Not rated;  WEI,83
Too stony,84
Depth to cemented pan is less than 10 inches,85
Low exchange capacity,86
WT 0 cm - Not Suited,87
Group 5,88
"Root restriction 20 - <40""",89
CEC or ECEC is > 25,90
Rutting in October,91
Too Stony,92
Growing season wetness,93
Organic soil,94
29,95
Some rock fragments,96
Depth cemented pan,97
FSG-NP(W)-017-Loamy,98
Flooding frequency poorly suited,99
Excess Sodium,100
EC 4-8 dS/m,101
Very severely limited,102
pH above/below - moderately suited,103
"YES, NP(W)FSG-030 Subirr, Limy",104
Moderate resistance,105
Very low bioaccumulation potential,106
Sulfides present,107
Unusable-Ponding,108
Low Strength,109
High wetness limitation,110
Moderate risk,111
Chemical factors,112
Rutting in November,113
Somewhat suited for seeding,114
Water quantity from precipitation available for leaching,115
Low surface salinization risk,116
Very high,117
"Massive ice possible below 6 feet, high subsidence potential",118
Weakly structured,119
Ponding or flooding,120
Floods occasionally,121
unsuited - Ponding,122
Available water,123
Depth to root restricting layer,124
Soil has a high om content > 5.0 %,125
"Depth to pan <40""",126
Restricted - Lithic Bedrock,127
Frost-free period too long or short - Not Suited,128
No performance limitations,129
"Critical available water capacity limit: <3""",130
Thick organic layer,131
Perudic Soil Moisture,132
High PGI,133
Somewhat  limited,134
Organic matter content of surface,135
somewhat suitable sand content,136
Requires user review or unsuited to surface irrigation,137
Not rated; Surface clay percent or taxonomic class,138
Leaching shallow to water,139
Flooding rare OR very brief,140
NO DATA,141
pH - not suited,142
Nearly level to gently sloping,143
Prime Farmland,144
CTSG 7,145
Slight voided fragments,146
58,147
"Available water capacity: 4-8""",148
Silt content,149
"Temperature regime, frost-free days",150
Unsuitable - Karst or Sinkhole,151
Moderately aerated,152
E-1,153
145,154
Very poorly drained,155
Denial - SHWT 20 - 26 inches,156
Null Not rated,157
"YES, NP(W)FSG-018 Loamy, Acid",158
Area reclaim difficulty,159
A-1,160
Data present,161
>6 months with long or very long ponding duration,162
Not Suited - Ponding,163
Subsurface salinity,164
Filtering capacity somewhat limiting,165
"Cobbles and stones are more than 15 percent by volume, 0-30 inches depth",166
Landscape properties score,167
Well Suited,168
Not rated; Total silt or very fine sand missing,169
"Flooding, ponding, or water table",170
Slope 2 to 8%,171
Somewhat resistant,172
Soil strength,173
Slope is >5 to 8 percent,174
Adsorptive capacity response low,175
"Potential bedrock near 48""",176
High potential water erosion,177
"Not Rated, Taxonomic Order, Misc Type",178
"Bedrock, above 48 inches",179
"Not rated; very fine sand, silt, or clay",180
No cobble limitation,181
Frags: None,182
Not rated; K factor 0-60cm,183
Shrink-swell not limiting,184
"Suited, external factors",185
Gravel source,186
Ponding 2 to 7 days,187
"Unsuitable - Bedrock 20-40""",188
Too Sandy,189
Excess Salt,190
Available water storage poorly suited,191
Moderate oxidation rate,192
Available water storage,193
Excellent,194
pH < 6.0 or > 9.0,195
Soil water somewhat limiting,196
B-3,197
"Potential bedrock near 72""",198
Not rated; MAP,199
Not Rated; AASHTO GIN,200
"FSG-NP(W)-023-Loamy, Mod. Saline",201
Not suited - erodibility by water,202
Provisionally Suitable - Fragments 36-60%,203
poor filter,204
Unsuitable - Group I: Rapid Perm or Too Shallow,205
"Subgelic, MAAT <-2 degrees C, Histel, not frequent ponding",206
pH limiting,207
Flood Duration: Long,208
"FSG-NP(W)-033-Subirr, Saline",209
Leaching or seepage,210
~large stones (surface layer),211
Barley,212
Rooting depth,213
"FSG-NP(W)-020-Loamy, Dry-Mod. Saline",214
Frequent Flooding,215
Exchangeable Bases (limited),216
Lime content,217
Medium amount of clay,218
Soil does not meet EC Prime Farmland Criteria,219
poorly suited - Ponding,220
2,221
Bottom layer,222
"Depth: 20-35""",223
No slope limitation,224
35,225
Unsuitable,226
Adsorption,227
well suited - Slope,228
Limited subsurface filtration,229
LEP response low,230
trafficability,231
Filtering capacity,232
Moderate water dispersible clay,233
Not rated - missing taxonomic class,234
"Null Not rated, pH",235
40%,236
No installation limitations,237
Cobble content,238
Depth to restriction,239
32,240
Hard to compact,241
Fast percolation <60 inches,242
Gravelly Sand Subgroup,243
Moderate potential water erosion,244
Provisionally Suitable - Weighted clay 20-30,245
Very long or long frequent ponding,246
24,247
GrU: Gravelly upland,248
Permeability (Ksat),249
Drainage generally not needed,250
Alfalfa index,251
Mineral Surface OM 1-3% - moderately suited,252
Moderate irrigated productivity,253
Moderate water erosion potential,254
Landform: Shoulder/Summit,255
Not rated; Clay percent or Organic matter,256
Suitable texture,257
Very low wind erosion potential,258
Sensitive,259
